number,type
4,intel core i7-9700f
4,amd athlon 64 x2 6000+
4,amd 386dx
4,amd ryzen 5 3500x
4,intel xeon x5550
4,intel core i7-2640m
4,amd athlon ii x2 b24
4,amd a10-5800
4,intel core i7-3630qm
4,amd r5 3600
4,intel xeon x5355
4,intel core i7-3930k
4,intel core i7-3970x
4,intel core i7-4700mq
4,intel core i7-9700
4,intel xeon x3370
4,intel core i7-4785t
4,intel xeon w3670
4,intel xeon silver 4112
4,amd a4-3420
4,amd phenom ii x2 555
4,intel xeon e5-2637 v3
4,amd phenom x3 8400
4,amd a12-9800
4,intel core i7-7820x
4,amd phenom ii x4 960t
4,intel core i7-4810mq
4,intel xeon w3690
4,amd duron
3,intel xeon e5-2682 v4
3,intel xeon e5-2658 v3
3,intel xeon e5-440
3,intel xeon e5-4610
3,intel core i5-7400t
3,intel xeon e5-4627 v2
3,intel xeon e5-4650 v2
3,intel xeon x5667
3,intel xeon x5472
3,intel xeon w5580
3,intel xeon w-2123
3,intel xeon platinum 8156
3,intel xeon gold 6138
3,intel core i3-2330m
3,intel xeon gold 6132
3,intel xeon gold 6128
3,intel core i3-2350m
3,intel xeon e5-2650v4
3,intel xeon gold 5118
3,intel xeon e7-4860 v2
3,intel xeon e5649
3,intel core i3-3245
3,intel core i3-380m
3,intel xeon e5504
3,intel core i3-4130t
3,intel xeon e5345
3,intel xeon e5-2658
3,intel xeon e5-1603 v4
3,intel xeon e5-2650l v4
3,intel core i7-960
3,intel pentium g4400t
3,intel core i5-4210m
3,intel pentium e6600
3,intel pentium e6500
3,intel pentium e6300
3,intel i5 9400t
3,intel core i9-9980xe
3,intel core i9-10900k
3,intel core i7-970
3,intel core i5-4670s
3,intel core i5-4690s
3,intel pentium g4620
3,intel core i7-8086k
3,intel core i7-4800mq
3,intel core i7-4770s
3,intel core i7-4702mq
3,intel core i7-3840qm
3,intel core i7-2860qm
3,intel core i7-2700k
3,intel core i7-10700f
3,intel core i7 i7-10700k
3,intel core i5-680
3,intel pentium g4560t
3,intel pentium g645
3,intel xeon e5-2643 v4
3,intel core i5 2300
3,intel core i3-6098p
3,intel xeon e5-2603 v4
3,intel core i3-6100
3,intel xeon e5-2450l v2
3,intel xeon e5-2440v2
3,intel xeon e5-2440
3,intel xeon e5-2430l
3,intel xeon e5-1680 v3
3,intel xeon e5-1660 v3
