number,type
1,intel xeon w3550
1,intel xeon w3565
1,amd 486dx4
1,intel xeon x5482
1,intel xeon x5492
1,intel xeon x5500
1,intel core 2 quad q8200s
1,amd 6320
1,intel xeon x5620
1,amd 5 s1600
1,intel core 2 quad q8400s
1,amd a12-8800e
1,intel core 2 quad q9505
1,amd 3600x
1,amd 3300x
1,amd 2200
1,amd 200ge
1,amd 1400
1,intel xeon x7550
1,intel core 2 extreme x7900
1,intel xeon x5470
1,amd a10-5750m
1,intel xeon x5450
1,intel core duo t2300
1,amd a10-9700e
1,amd a10-8750
1,intel xeon x 5670
1,intel xeon x3230
1,intel xeon x3330
1,intel xeon x3363
1,amd a10-7890k
1,amd a10-6800b
1,intel xeon x3440
1,amd a10-6800
1,intel xeon x3460
1,intel xeon x3470
1,intel core cpu i3-380m
1,intel xeon x5365
1,intel xeon model
1,intel xeon lc5528
1,intel xeon lc3518
1,intel core 2 duo t6400
1,amd a8-3820
1,intel core 2 duo t5750
1,intel xeon e5430
1,amd a8-3520m
1,intel xeon e5472
1,intel xeon e5502
1,intel xeon e5503
1,intel xeon e5506
1,intel core i3-390m
1,amd a8 5600
1,intel core i3-4100m
1,intel xeon e5540
1,intel xeon e5600
1,intel xeon e5603
1,intel core i3-4000m
1,amd a8 3500m
1,intel xeon e5320
1,intel xeon e5160
1,intel xeon e5-649
1,amd a8-3870
1,intel xeon e5-4640v3
1,amd a8-5600
1,amd a8-5500b
1,intel xeon e5-4650v3
1,intel xeon e5-4655 v4
1,intel core 2 duo p9700
1,intel xeon e5-4657lv2
1,intel xeon e5-4660v3
1,intel core 2 duo t5270
1,intel core 2 duo t5500
1,intel xeon e5-4669 v4
1,amd-a8-3870
1,intel xeon e5-540
1,intel core 2 duo t5670
1,amd a8-4500m
1,intel xeon e5628
1,intel core 2 duo t6500
1,intel core i3-2348m
1,intel core i3-3110m
1,intel core i3-3210
1,intel xeon gold 6134
1,amd a6-3420m
1,intel xeon gold 6140
1,intel core i3-3120me
1,intel core 2 duo t8100
1,intel xeon gold 6150
1,intel xeon gold 6226r
1,amd a6-8500
1,intel xeon gold 6230
1,intel xeon gold 6242
1,intel xeon gold 6246
1,intel xeon i5-750
1,intel core i3-2370m
1,intel xeon l5430
1,intel xeon l5630
1,intel xeon gold 6130h
1,intel core 2 duo t7800
1,intel core 2 duo t7300
1,intel core i3-3240t
1,amd a6-7400
1,intel xeon e7-4820v3
1,intel xeon e7-4860
1,intel core 2 duo t6600
1,intel core 2 duo t7100
1,intel xeon e7-8860
1,intel xeon e7-8870
1,intel xeon e7-8870v2
1,intel xeon e7-8880 v3
1,intel core i3-330m
1,intel core i3-32xx
1,intel xeon e7-8895 v2
1,intel xeon e7310
1,intel xeon e7450
1,intel xeon gold 5117 sr37s
1,amd athlon x2 5200
1,intel xeon e5-1630v4
1,intel xeon e5-2407 v2
1,intel i5-580m
1,intel i5-10600k
1,intel i5-2500
1,intel i5-3320m
1,amd ryzen 5 pro 1500
1,intel i5-480m
1,intel i5-520m
1,intel i5-540m
1,intel i5-6402p
1,amd opteron 6320
1,intel core i5-7700
1,intel i7
1,intel i7 10900t
1,intel i7 2600s
1,intel i7-10700k
1,intel i7-10700kf
1,intel i7-4900mq
1,intel i5-10400
1,intel i5 2550k
1,intel i7-940xm
1,amd opteron 6376
1,intel core i9-7900x 
1,amd ryzen 5 3400ge
1,amd opteron 8220
1,amd opteron 8216
1,intel core i9-9900
1,amd opteron 6380
1,intel core i9-9900ks
1,amd opteron 6344
1,intel i5 2500
1,intel i3-3110m
1,intel i3-3130m
1,intel i3-3240
1,intel i3-4000m
1,intel i3-4130t
1,intel i5
1,intel i5 2400s
1,intel i7-870
1,amd opteron 6276
1,amd-a8
1,amd ryzen thread ripper 3970x
1,amd opteron 252
1,intel pentium g3250t
1,amd ryzen 7 pro 4750g
1,intel core i5-670
1,intel pentium g3260t
1,intel core i5-661
1,intel pentium g3430
1,amd opteron 2419
1,amd opteron 4226
1,amd opteron 2389
1,amd opteron 2356
1,amd opteron 2220
1,amd opteron 2218
1,amd opteron 2216
1,intel core i5-655k
1,amd opteron 2214
1,amd opteron 270
1,intel pentium g2140
1,amd opteron 6275
1,amd opteron 6172
1,amd ryzen 5 pro 2400g
1,amd ryzen 5 pro 3400ge
1,amd opteron 6220
1,intel pentium e4500
1,amd opteron 6200
1,intel core i5-750s
1,intel pentium e5500
1,amd ryzen 5900x
1,amd opteron 4284
1,amd opteron 6140
1,amd opteron 6136
1,amd ryzen 7
1,intel pentium e6700
1,intel pentium e6800
1,amd opteron 4386
1,amd ryzen 7 4800h
1,amd opteron 8354
1,intel core i9-11900k
1,intel core i9-10900x
1,amd ryzen 3 2200ge
1,intel core i7-4800
1,amd phenom x3
1,amd phenom x2 511
1,amd phenom x 4    9850
1,intel core i7-4900mq
1,intel core i7-4910mq
1,amd phenom x 4    9750
1,amd phenom x 4    9500
1,amd phenom x3 8550
1,amd phenom x 4    9150e
1,amd ryzen 3 3300x
1,amd ryzen 3 pro 4350g
1,intel core i7-10700kf
1,intel core i7-640m
1,amd phenom x 3    8750b
1,amd phenom x 3    8650
1,amd rayzen 7 3800x
1,amd phenom x3 8750b
1,amd opteron 850
1,amd r7 2700
1,intel core i7-3632qm
1,amd r5 2600x
1,intel core i7-3770t
1,amd r5 2600
1,intel core i7-3632mq
1,amd r5 1600x
1,amd r5 1500x
1,amd r3 3100
1,amd phenom x4
1,intel core i7-3612qm
1,intel core i7-3610qm
1,intel core i7-3540m
1,amd phenom x4-9550
1,amd phenom x4 9600b
1,intel core i7-2760qm
1,amd phenom x4 9100e
1,amd phenom ii x6-1055t
1,amd phenom ii x6 1065t
1,intel core i7-10700
1,intel core i5-9400f
1,amd phenom ii x2 b59
1,amd phenom ii x2 565
1,amd phenom ii x2 560
1,intel core i7-965
1,amd phenom ii x2 545
1,intel core i5-9500t
1,intel core i5-9500
1,amd phenom ii x 4 955
1,amd ryzen 3700x
1,intel core i7-9700t
1,amd phenom ii x 4 945
1,intel core i7-980
1,intel core i5-9400
1,amd opteron 875
1,intel core i9-10900
1,intel core i9-10900f
1,amd phenom ii x3 740
1,intel core i5  sro 4w
1,amd phenom ii x4 805
1,intel core i7 3612qm
1,amd phenom ii x4 980
1,intel core i7 9700f
1,amd phenom ii x4 9650
1,intel core i7-7700t
1,intel core i7 9700
1,amd phenom ii x4 940
1,amd phenom ii x4 920
1,amd phenom ii x4 910e
1,intel core i7-840qm
1,intel core i7 840qm
1,intel core i7 740qm
1,amd phenom ii x4 850
1,intel core i7 3720qm
1,intel core i7 3630qm
1,intel core i7-870s
1,intel pentium g620t
1,amd opteron 1385
1,intel pentium g630t
1,amd athlon xp 2400+
1,amd athlon xp 3200+
1,amd athlon xp 2800+
1,intel xeon e3-1265lv3
1,amd x4-910
1,amd athlon xp 2500+
1,amd athlon xp 2500
1,intel core i5-3510m
1,intel xeon e3-1270 v6
1,amd x4-870k
1,intel xeon e3-1270v2
1,amd athlon xp 2200+
1,amd athlon xp 2100+
1,amd athlon xp 1800+
1,intel xeon e3-1275 v5
1,intel core i5-3470t
1,intel xeon e3-1275lv3
1,intel xeon e3-1260l v5
1,amd x4-805
1,intel core i5-430m
1,intel xeon e3-1240v2
1,amd dx4-100
1,amd duron 800
1,amd duron 700
1,amd sempron m120
1,intel xeon e3-1240l v3
1,amd turion  ii m600
1,intel xeon e3-1240lv5
1,intel xeon e3-1240v3
1,intel xeon e3-1245v5
1,intel core i5-4130m
1,intel core i5-3570s
1,intel xeon e3-1245 v2
1,intel xeon e3-1245 v3
1,intel xeon e3-1245 v5
1,intel xeon e3-1245 v6
1,intel xeon e3-1245v2
1,intel xeon e3-1276 v3
1,amd athlon xp 1700+
1,intel xeon e3-1280 v2
1,amd-a10-8770
1,amd x4-b97
1,intel xeon e5-1607v3
1,amd athlon x4 880k
1,intel core i5-3450m
1,amd-a10-8750b
1,intel core i5-3380m
1,intel core i5-3360m
1,amd athlon x4 750
1,amd x4-b95
1,intel xeon e5-1660
1,amd athlon x2 64
1,amd athlon x2 5600+
1,intel xeon e5-1680 v2
1,amd athlon x2 5400b
1,intel xeon e5-1680 v4
1,intel xeon e5-2403
1,intel xeon e5-1607 v3
1,intel xeon e5-1607 v2
1,intel xeon e5-1607
1,amd athlon x4 950
1,intel xeon e3-1285l v3
1,intel xeon e3-1285l v4
1,intel xeon e3-1290
1,intel xeon e3-1290 v2
1,intel xeon e3120
1,intel xeon e5
1,intel xeon e5 1603
1,intel xeon e5 2620 v3
1,intel xeon e5 2637 v4
1,intel xeon e5 2637 v4 es
1,intel xeon e5 v3
1,intel xeon e5-1410v2
1,intel xeon e5-1600
1,amd athlon xp 1600+
1,intel xeon e5-1603 v3
1,intel core i5-4300m
1,amd -k6-2
1,intel pentium g640
1,intel xeon 4116
1,intel xeon 2700mp
1,intel xeon 2800dp
1,amd sempron 2400+
1,intel core i5-480m
1,intel xeon 3106
1,amd epyc 7742
1,intel xeon 4114
1,amd sempron 2500
1,intel xeon  e7-4880 v2
1,intel xeon 4208r
1,intel core 2 quad q9450s
1,intel xeon 5060
1,intel xeon 5113
1,intel xeon 5130
1,intel xeon 5130 dual core
1,intel xeon 5140 dual core
1,intel xeon  x5560
1,intel xeon  e5-2680 v2
1,intel xeon e3-1230l v3
1,amd fx-6330
1,amd k6-ii
1,intel core i5-6500te
1,amd fx-8350.
1,amd ryzen threadripper 2950x
1,amd ryzen threadripper 2990wx
1,intel pentium gold
1,amd fx-770k
1,intel pentium m 725
1,intel xeon  e5-2430l
1,intel pentium m 750
1,intel pentium m 760
1,intel pentium m750
1,amd sempron 2200
1,intel pentium p6300
1,intel core i5-560m
1,amd sempron 2300+
1,intel xeon 5150
1,amd epyc 7702
1,amd epyc 7662
1,amd sempron le-1300
1,intel core i5-4570te
1,amd sempron 64 le-1150
1,amd sempron 64 le-1250
1,amd sempron 64 le-1300
1,intel xeon e3-1220l v2
1,intel xeon e3-1220l v3
1,intel xeon e3-1220v2
1,intel core i5-4430s
1,intel xeon 5500
1,amd epyc 7282
1,intel xeon e3-1225 v5
1,amd sempron m100
1,amd epyc 7281
1,intel core i5-4350t
1,intel core i5-4330m
1,amd epyc
1,amd sempron 64 3400+
1,intel xeon e-2224g
1,intel xeon e-2224
1,intel xeon e-2176g
1,intel xeon 6130t
1,amd sempron 2600+
1,amd sempron 2650
1,amd sempron 2800+
1,amd sempron 3100+
1,intel xeon 7140m
1,intel xeon 8160
1,intel xeon 8170
1,intel xeon 8274
1,intel xeon 8280m
1,intel xeon e 2176g
1,amd sempron 3200+
1,intel xeon e-2126g
1,intel xeon e-2144g
1,intel xeon e-2146g
1,intel xeon 4210
