soldprice,date,model
370.0,2021-04-24 23:38:39,AMD Ryzen 9 3900x
246.0,2021-04-24 22:37:42,AMD Ryzen Threadripper 1950X
350.0,2021-04-24 22:26:09,AMD Ryzen 7 5800X
575.0,2021-04-24 21:05:50,AMD Ryzen 3950X
250.0,2021-04-24 19:19:57,AMD FX-9590
245.5,2021-04-24 19:01:18,ryzen 7 3700x
575.0,2021-04-24 18:08:42,AMD Ryzen 9 3950X
2955.0,2021-04-24 16:32:46,EPYC 7742 QS
375.0,2021-04-24 14:31:43,AMD Ryzen 9 3900X
400.0,2021-04-24 07:46:27,AMD Ryzen 9 3900xt
400.0,2021-04-24 02:36:07,AMD Ryzen 5 2600
257.0,2021-04-24 00:20:30,NO
250.0,2021-04-23 18:37:41,AMD Ryzen Threadripper 2920X
1395.99,2021-04-23 18:25:14,AMD Ryzen Threadripper 2990WX
250.0,2021-04-23 18:21:11,Mixed lot of Ryzen
276.0,2021-04-23 18:07:04,Mixed lot of Ryzen
305.0,2021-04-23 18:04:21,Mixed lot of Ryzen
285.0,2021-04-23 17:32:22,Ryzen 7 3700x
2000.0,2021-04-23 16:10:10,3700x
200.0,2021-04-23 15:46:29,AMD-A8
1049.36,2021-04-23 12:08:54,3950x
2999.0,2021-04-23 09:55:22,EPYC 7F52
3443.0,2021-04-23 09:52:07,EPYC 7F72
2688.0,2021-04-23 09:44:18,EPYC 7542
2188.0,2021-04-23 09:38:38,EPYC 7452
1850.0,2021-04-23 07:53:12,EPYC 7402
227.5,2021-04-23 02:00:47,AMD Ryzen 7 3700X
240.0,2021-04-23 00:33:06,AMD Ryzen 5 3400G
600.0,2021-04-23 00:01:49,2950X
319.99,2021-04-22 19:58:19,Ryzen 7 3700x
249.99,2021-04-22 18:15:51,AMD Ryzen Threadripper 1920X
250.0,2021-04-22 17:11:26,AMD Ryzen 7 2700X
949.99,2021-04-22 16:54:14,ryzen 5950x
207.5,2021-04-22 16:04:57,AMD Ryzen 7 3700X
3256.11,2021-04-22 10:54:56,AMD EPYC 7F72
799.0,2021-04-22 03:41:23,AMD Ryzen Threadripper 1920X
221.5,2021-04-22 03:21:16,AMD Ryzen 7 1700X
290.0,2021-04-21 23:05:12,2920x
200.0,2021-04-21 21:36:08,AMD Ryzen 7 2700X
279.99,2021-04-21 21:00:40,AMD Ryzen 5 3600XT 100-100000281BOX Processor
305.0,2021-04-21 20:08:36,NO
260.0,2021-04-21 18:43:52,NO
201.0,2021-04-21 13:55:04,100-100000071BOX
220.0,2021-04-21 13:16:24,AMD 3600X
379.99,2021-04-21 00:56:13,AMD EPYC
275.0,2021-04-20 23:08:16,NO
239.96,2021-04-20 22:36:52,Not Available
380.0,2021-04-20 21:33:33,NO
2475.0,2021-04-20 14:39:40,AMD EPYC 7601
270.99,2021-04-20 09:50:34,AMD FX-9590
542.69,2021-04-19 14:50:48,AMD EPYC 7351
466.38,2021-04-19 10:54:17,NO
220.0,2021-04-19 03:26:03,AMD Ryzen 5 2400G
279.99,2021-04-18 20:27:10,AMD Ryzen 7 3700X
285.0,2021-04-17 22:07:01,AMD 7 3700X
220.0,2021-04-17 01:23:24,AMD R5 3600X
309.9,2021-04-17 00:25:20,AMD Ryzen 7 3800X
204.98,2021-04-16 08:21:46,AMD Ryzen 7 2700X
207.68,2021-04-16 08:21:46,AMD Ryzen 7 2700X
231.16,2021-04-16 02:03:12,NO
288.0,2021-04-15 22:42:04,Ryzen 7 3700X
3249.0,2021-04-14 20:49:44,AMD Phenom II X4 B97
