soldprice,date,link
230.0,2021-04-25 14:50:16,https://www.ebay.com/itm/Ryzen-5-2600-Aorus-B450-Aorus-M-/363373046574
230.0,2021-04-25 13:51:01,https://www.ebay.com/itm/AMD-Ryzen-2nd-Gen-7-2700X-4-3-GHz-Eight-Core-Processor-Wraith-Prism-/174745499558
285.0,2021-04-25 11:49:11,https://www.ebay.com/itm/AMD-Ryzen-5-5600X-Desktop-Processor-6-Cores-3-7GHz-Base-4-6GHz-Boost-/324590008243
365.17,2021-04-25 11:44:39,https://www.ebay.com/itm/And-Ryzen-9-3900x-/284271461566
350.0,2021-04-25 09:43:32,https://www.ebay.com/itm/AMD-Ryzen-7-3800X-3-9GHz-Octa-Core-Processor-/373554946762
340.0,2021-04-25 05:56:16,https://www.ebay.com/itm/AMD-Ryzen-7-3800XT-Processor-4-7-GHz-8-Cores-Socket-AM4-100-100000279WOF-/174745460060
400.0,2021-04-25 03:37:40,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Desktop-Processor-4-7GHz-8-Cores-Socket-AM4-Box-100-1000-/254953661218
565.0,2021-04-25 00:40:36,https://www.ebay.com/itm/AMD-Ryzen-9-3950X-3-5GHz-16-Core-100-100000051WOF-Processor-/164831157326
255.0,2021-04-25 00:38:44,https://www.ebay.com/itm/AMD-Ryzen-2nd-Gen-7-2700X-4-3-GHz-Eight-Core-YD270XBGM88AF-Processor-/174745234806
225.0,2021-04-25 00:19:03,https://www.ebay.com/itm/AMD-Ryzen-7-2700X-Wraith-Prism-Cooler-/324589306209
325.0,2021-04-25 00:17:35,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-3-8Ghz-12-Core-AM4-Processor-Wraith-Prism-Cooler-/284270885096
370.0,2021-04-24 23:38:39,https://www.ebay.com/itm/AMD-Ryzen-9-3900x-Computer-Processor-/194062943051
246.0,2021-04-24 22:37:42,https://www.ebay.com/itm/AMD-Ryzen-YD195XA8AEWOF-Threadripper-1950X-Cache-32-MB-16-Core-3-4-GHz-Process-/164831030208
350.0,2021-04-24 22:26:09,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Desktop-Processor-4-7GHz-8-Cores-Socket-AM4-Used-/224437963742
575.0,2021-04-24 21:05:50,https://www.ebay.com/itm/Mint-Condition-3950X-Cpu-Silver-Sample-/233981402739
250.0,2021-04-24 19:19:57,https://www.ebay.com/itm/AMD-FX-9590-Black-Edition-4-70-GHz-Octa-Core-Processor-Cooler-/284270634332
245.5,2021-04-24 19:01:18,https://www.ebay.com/itm/ryzen-7-3700x-/184790105355
575.0,2021-04-24 18:08:42,https://www.ebay.com/itm/AMD-Ryzen-9-3950X-3-5-GHz-16-Core-Processor-/393267800184
2955.0,2021-04-24 16:32:46,https://www.ebay.com/itm/AMD-EPYC-7742-QS-2-0GHz-64Core-128Thread-256MB-225W-Socket-SP3-CPU-Processor-/402807849992
375.0,2021-04-24 14:31:43,https://www.ebay.com/itm/AMD-Ryzen-9-3900X-3-8-GHz-AM4-12-Core-Desktop-Processor-Wraith-Prism-Cooler-/154426865038
400.0,2021-04-24 07:46:27,https://www.ebay.com/itm/AMD-Ryzen-9-3900XT-Processor-4-7-GHz-12-Cores-Socket-AM4-100-100000277WOF-/333973239069
400.0,2021-04-24 02:36:07,https://www.ebay.com/itm/AMD-Ryzen-5-2600-MSI-B450M-Gaming-Plus-G-Skill-Ram-/333972342784
257.0,2021-04-24 00:20:30,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-Core-3-6GHz-Processor-/184788292747
250.0,2021-04-23 18:37:41,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2920X-Prozessoren-3-5GHz-CPU-12-Cores-Up-4-3GHz-/294139503011
1395.99,2021-04-23 18:25:14,https://www.ebay.com/itm/AMD-RYZEN-Threadripper-2990WX-TR4-CPU-Processor-X399-32-Cores-Priced-sell-/144017966835
250.0,2021-04-23 18:21:11,https://www.ebay.com/itm/Lot-12-Bad-AMD-CPUs-Ryzen-LOT-B-/254953511507
276.0,2021-04-23 18:07:04,https://www.ebay.com/itm/Lot-12-Bad-AMD-CPUs-Ryzen-LOT-U-/254953496375
305.0,2021-04-23 18:04:21,https://www.ebay.com/itm/Lot-12-Bad-AMD-CPUs-Ryzen-LOT-T-/265134980695
285.0,2021-04-23 17:32:22,https://www.ebay.com/itm/AMD-100-00000071BOX-Ryzen-7-3700x-3-6GHz-Octa-Core-AM4-Boxed-CPU-LIGHTLY-USED-/233979782866
2000.0,2021-04-23 16:10:10,https://www.ebay.com/itm/amd-ryzen-7-3700x-8-core-3-6-ghz-/164828128124
200.0,2021-04-23 15:46:29,https://www.ebay.com/itm/Lot-13-AMD-A8-QUAD-CORE-CPUS-3-1ghz-3-5ghz-WORKING-PULLS-/373552891026
1049.36,2021-04-23 12:08:54,https://www.ebay.com/itm/MSI-X570-Unify-And-AMD-Ryzens-9-3950X-Bundle-/184787024203
2999.0,2021-04-23 09:55:22,https://www.ebay.com/itm/AMD-EPYC-7F52-3-5GHz-16Core-32Thread-256MB-240W-Socket-SP3-CPU-Processor-/402806098178
3443.0,2021-04-23 09:52:07,https://www.ebay.com/itm/AMD-EPYC-7F72-3-2GHz-24Core-48Thread-192MB-240W-Socket-SP3-CPU-Processor-/402806095591
2688.0,2021-04-23 09:44:18,https://www.ebay.com/itm/AMD-EPYC-7542-2-9GHz-32Core-64Thread-128MB-225W-Socket-SP3-CPU-Processor-/402806090143
2188.0,2021-04-23 09:38:38,https://www.ebay.com/itm/AMD-EPYC-7452-2-35GHz-32Core-64Thread-128MB-155W-Socket-SP3-CPU-Processor-/402806087268
1850.0,2021-04-23 07:53:12,https://www.ebay.com/itm/AMD-EPYC-7402-2-8GHz-24Core-48Thread-128MB-180W-Socket-SP3-CPU-Processor-/402805993683
227.5,2021-04-23 02:00:47,https://www.ebay.com/itm/AMD-AMD-Ryzen-7-3700X-8-Core-3-6GHz-Processor-/124692041225
240.0,2021-04-23 00:33:06,https://www.ebay.com/itm/AMD-Ryzen-5-3400G-3-7GHz-4-Core-8-Threads-CPU-Processor-/174742871147
600.0,2021-04-23 00:01:49,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2950X-TR4-/124693451837
319.99,2021-04-22 19:58:19,https://www.ebay.com/itm/amd-ryzen-7-3700x-3-6-ghz-8-core-processor-/353467532078
249.99,2021-04-22 18:15:51,https://www.ebay.com/itm/AMD-RYZEN-Threadripper-1920X-12-Core-3-5-GHz-Socket-sTR4-180W-Desktop-Processor-/402805177556
250.0,2021-04-22 17:11:26,https://www.ebay.com/itm/Amd-Ryzen-7-2700x-8-core-processor-HYPER-212-RGB-BLACK-EDITION-COOLER-included-/154424651735
949.99,2021-04-22 16:54:14,https://www.ebay.com/itm/AMD-Ryzen-9-5950X-16-Core-32-Thread-Retail-AM4-Processor-4-9-GHZ-Boost-/274769377343
207.5,2021-04-22 16:04:57,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-8-Core-3-6GHz-Processor-4-4-Max-Boost-/224435274287
3256.11,2021-04-22 10:54:56,https://www.ebay.com/itm/AMD-EPYC-7F72-CPU-PROCESSOR-24-CORE-3-20GHz-192MB-CACHE-240W-100-000000141-/114777406439
799.0,2021-04-22 03:41:23,https://www.ebay.com/itm/Asrock-x399-Fatality-Professional-Gaming-Motherboard-AMD-Threadripper-1920x-CPU-/164826546995
221.5,2021-04-22 03:21:16,https://www.ebay.com/itm/AMD-Ryzen-7-1700X-3-8-GHz-8-core-16-thread-CPU-processor-Socket-AM4-Box-/303970108519
290.0,2021-04-21 23:05:12,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-2920X-3-5-GHz-12-Core-YD292XA8AFWOF-Processor-CPU-/174741460183
200.0,2021-04-21 21:36:08,https://www.ebay.com/itm/AMD-Ryzen-2nd-Gen-7-2700X-4-3-GHz-Eight-Core-YD270XBGM88AF-Processor-/294136029407
